source,Authors,Cantidad
ACM,"Niemel\""{a}, Pia and Partanen, Tiina and Harsu, Maarit and Lepp\""{a}nen, Leo and Ihantola, Petri",1
ACM,"Niousha, Rose and Saito, Daisuke and Washizaki, Hironori and Fukazawa, Yoshiaki",1
ACM,"Ojeda-Ramirez, Santiago and Parker, Miranda C. and Garcia, Leiny and Tate, Tamara and Villa, Jillian Rae and Warschauer, Mark",1
ACM,"Okerlund, Johanna and Shaer, Orit and Latulipe, Celine",1
ACM,"Om, Chimi and Brereton, Margot and Vella, Kellie and Ploderer, Bernd and Dema, Tshering and Dobson, Madeleine Rose and Murcia, Karen",1
ACM,"Ord\'{o}\~{n}ez Franco, Patricia and Carroll-Miranda, Joseph and L\'{o}pez Delgado, Mar\'{\i}a and Gerena L\'{o}pez, Eliud and Rodr\'{\i}guez G\'{o}mez, Grace",1
ACM,"Ortiz, Julia and Moreira, Carolina and Menezes, Krissia and Ferrari, Bernardo and Junior, Deogenes and Pereira, Roberto",1
ACM,"Ottenbreit-Leftwich, Anne and Yadav, Aman",1
ACM,"Ouaazki, Abdessalam and Bergram, Kristoffer and Farah, Juan Carlos and Gillet, Denis and Holzer, Adrian",1
ACM,"Ouyang, Youwen and Hayden, Katherine L. and Remold, Julie",2
ACM,"Padhye, Harsh and Gibson, Rachel and Bull, Glen and Nguyen, N. Rich",1
ACM,"Palts, Tauno and Pedaste, Margus",1
ACM,"Paludo, Giulia and Montresor, Alberto",1
ACM,"Panoff, Robert Michael",1
ACM,"Parkinson, Jack",1
ACM,"Pasterk, Stefan and Benke, Gertraud",1
ACM,"Pel\'{a}nek, Radek and Effenberger, Tom\'{a}\v{s}",1
ACM,"Pellar-Kosbar, Meara and Gaines, Dylan and Monroe, Lauren and Rospierski, Alec and Martin, Alexander and Vigna, Ben and Stewart, Devin and Perttunen, Jared and Voss, Calvin and Pastel, Robert and Ureel, Leo C.",1
ACM,"Peteranetz, Markeya S. and Morrow, Patrick M. and Soh, Leen-Kiat",1
ACM,"Pietros, Jennifer and Sweetman, Sara and Shim, Minsuk",1
ACM,"Pinto-Llorente, Ana M and Mart\'{\i}n, Sonia Casillas and Gonz\'{a}lez, Marcos Cabezas and Garc\'{\i}a-Pe\~{n}alvo, Francisco Jos\'{e}",1
ACM,"Pires, Ana Cristina and Rocha, Filipa and Guerreiro, Tiago and Nicolau, Hugo",1
ACM,"Pokorny, Kian L. and White, Nathan",1
ACM,"Pollock, Lori and Mouza, Chrystalla and Guidry, Kevin R. and Pusecker, Kathleen",1
ACM,"Psycharis, Sarantos and Kotzampasaki, Evangelia",1
ACM,"Pulimood, Monisha",1
ACM,"Pulimood, Sarah Monisha and Pearson, Kim and Bates, Diane C.",1
ACM,"Quan, Yujuan and Liu, Xiaoli and Lin, Longxin",1
ACM,"Ram\'{\i}rez-Montoya, Mar\'{\i}a Soledad and Buenestado-Fern\'{a}ndez, Mariana and Ibarra-Vazquez, Gerardo",1
ACM,"Rangel, Alessandra and Coenraad, Merijke and Ruiz, Pati and Dunbar, Kyle and Milenkovic, Lisa and Arriola, Sheryl and Marousky, Annmargareth",1
ACM,"Ranjan, Krithik and Gyory, Peter and Rivera, Michael L and Do, Ellen Yi-Luen",1
ACM,"Ray, Meg",1
ACM,"Relkin, Emily",1
ACM,"Repenning, Alexander",1
ACM,"Rich, Kathryn M.",1
ACM,"Rich, Peter J. and Egan, Garrett and Ellsworth, Jordan",1
ACM,"Ritter, Frauke and Standl, Bernhard",1
ACM,"Rode, Jennifer A. and Marshall, Andrea and Weibert, Anne and Aal, Konstantin and von Rekowski, Thomas and Elmimouni, Houda and Sharma, Akshay and Jobs, Jordan and Schleeter, Alexis and Booker, Jennifer",1
ACM,"Rode, Jennifer A. and Weibert, Anne and Marshall, Andrea and Aal, Konstantin and von Rekowski, Thomas and Elmimouni, Houda and Booker, Jennifer",1
ACM,"Rodriguez, Brandon and Kennicutt, Stephen and Rader, Cyndi and Camp, Tracy",1
ACM,"Rojas L\'{o}pez, Arturo and Garc\'{\i}a-Pe\~{n}alvo, Francisco Jos\'{e}",1
ACM,"Rojas-L\'{o}pez, Arturo and Garc\'{\i}a-Pe\~{n}alvo, Francisco J.",2
